19089531,22.4717490986,88.3819976449
18950586,22.4860963357,88.3150181919
19110775,22.9467346846,88.4495172277
25386,22.5693559498,88.4335339442
24874,22.5422980396,88.3613131195
18801843,22.6174134624,88.3340920508
18809699,22.5624501664,88.3486738801
18997652,22.5220723576,88.3281546459
18703754,22.5429749546,88.3608816192
18213984,22.5750295482,88.3893033117
19127155,22.5659422666,88.5152149200
18818168,22.4872031962,88.3394765854
24794,22.5025654316,88.3595475554
24196,22.7751298316,88.3679338172
18440908,22.5876830045,88.4079956263
18452220,22.5856108074,88.4051655605
24203,22.5822272456,88.4535512701
19112761,22.6349930000,88.4369680000
18717609,22.4614867000,88.3774477000
18898210,22.6606073086,88.3890414611
19056629,22.4711074641,88.3860554919
19029322,22.6044360000,88.3684260000
18452207,22.6310056429,88.4348193929
22614,22.6233054291,88.4149961919
19119892,22.6641365193,88.3772437647
19006323,22.5480322034,88.3536507189
19031909,22.6276804488,88.3960913122
18765480,22.7183410441,88.3737753332
18763102,22.4839510519,88.3028704673
18544139,22.5152512397,88.3580874279
18924573,22.5832915442,88.3568857983
18621013,22.5541949717,88.4062109515
18521701,22.6012784319,88.4058260545
20499,22.5384498418,88.3513718471
18823810,22.6156970137,88.4156550094
25718,22.5148287802,88.3932143077
18610554,22.5549027915,88.4061841294
18900488,22.5200645235,88.3358284459
18807699,22.6627189056,88.3478309959
21305,22.5702423295,88.3432397246
25078,22.4976666643,88.3640757948
21453,22.5865181327,88.3414299041
18801737,22.5736521911,88.4799556062
19083566,22.5870697687,88.4556889907
19093971,22.5126495623,88.4000686929
18213959,22.5025710071,88.3588216826
18808372,22.6258864507,88.3533395827
18621753,22.5836292824,88.4303699434
18936651,22.7496231872,88.3466816694
23680,22.5980911906,88.3659037203
19093292,22.6982863071,88.3426586911
23441,22.5539441685,88.3536440134
22936,22.5389973348,88.3545445651
22557,22.5817059283,88.3323865011
18862968,22.5080568627,88.3420223370
18670971,22.5805493644,88.4866973385
25163,22.5232978560,88.3464241773
18642905,22.5474974419,88.3491094038
18789918,22.5287460359,88.3769292757
24486,22.5452930381,88.3546689525
22110,22.5272446490,88.3658654988
18810425,22.5778427317,88.3902766183
19126622,22.5077043819,88.3568951860
18806472,22.6775607364,88.3528561145
24253,22.5194070081,88.3844515309
18613726,22.5179049002,88.3543450758
18558610,22.5023284734,88.3641663194
18259450,22.4833497468,88.3906494454
19131865,22.4803428728,88.3378518373
18512228,22.5655391579,88.3524343371
18563310,22.4602757540,88.3088863268
19081271,22.9745355458,88.4354624525
18600007,22.6312600192,88.4487625211
18134914,22.5856089501,88.3739107847
18773162,22.4855006162,88.3530438691
21231,22.5823417866,88.3908646926
18963356,29.2104210000,78.9618300000
20802,22.6093141495,88.4001947567
19135064,22.5019282764,88.3619290218
19096774,22.5976448409,88.3453794569
18166927,22.5148932022,88.3931938559
18414437,22.5109126056,88.3467882872
24132,22.5877117934,88.4079178423
18537638,22.5856946989,88.3748703450
19087753,22.7021770481,88.3827342466
18778809,22.5066422879,88.3347538859
18934298,22.5170560000,88.3672220000
21598,22.5881767487,88.4078829736
20703,22.5870059994,88.3736455813
18361635,22.5172709129,88.3666939661
18805940,22.7015791697,88.3455765992
19077893,22.6213141000,88.4648278000
18744386,22.5386709450,88.3656016365
18659146,22.5129617662,88.4051977471
19020102,22.6414034343,88.4245572612
22932,22.5694023897,88.3606757596
18896920,22.5041510000,88.4039120000
18414438,22.4960063409,88.3702958375
18848656,22.4812769129,88.3107015118
18944926,22.4900026805,88.3502986282
19072607,22.4996754432,88.3295054734
18508674,22.4856762654,88.3611873910
18852866,22.5704989853,88.4355036914
18281709,22.6339628163,88.4344931692
23655,22.5145215361,88.3527484909
19132385,22.5681819446,88.3526754007
